Course Name,Credits,Prerequisites,Category
ART 120 - Photographic Imaging,3,N/A,core requirements
ART 122 - Objects and Space,3,"art, art history, graphic design major, minor",core requirements
ART 123 - Painting and Mark Making,3,N/A,core requirements
ART 116 - Ceramics: Form and Surface,3,N/A,core requirements
ART 121 - Intro to Digital Media,3,"art, art history, graphic design major, minor",core requirements
ART 124 - Drawing and Planning,3,N/A,core requirements
ART 125 - Introduction to Transdisciplinary Studio,3,N/A,core requirements
ART 195 - Art and Text,3,N/A,core requirements
ART 296 - Contemporary Gallery Practice,3,N/A,core requirements
ART 384A - Concepts in Contemporary Art: Intersection of Art and Science,3,N/A,three of the following
ART 384D - Concepts in Contemporary Art: Collaborative Practices,3,N/A,three of the following
ART 384E - Concepts in Contemporary Art: Curatorial Practices,3,N/A,three of the following
ART 384C - Concepts in Contemporary Art: Art and Spirituality,3,N/A,three of the following
ART 384B - Concepts in Contemporary Art: Installation,3,N/A,three of the following
ART 384F - Concepts in Contemporary Art: Interdisciplinary Practices,3,N/A,three of the following
ART 384G - Concepts in Contemporary Art: The Origins of Art and Science,3,N/A,three of the following
ART 384A - Concepts in Contemporary Art: Intersection of Art and Science,3,N/A,one of the following
ART 384C - Concepts in Contemporary Art: Art and Spirituality,3,N/A,one of the following
ART 384B - Concepts in Contemporary Art: Installation,3,N/A,one of the following
ART 384D - Concepts in Contemporary Art: Collaborative Practices,3,N/A,one of the following
ART 384E - Concepts in Contemporary Art: Curatorial Practices,3,N/A,one of the following
ART 384F - Concepts in Contemporary Art: Interdisciplinary Practices,3,N/A,one of the following
ART 384G - Concepts in Contemporary Art: The Origins of Art and Science,3,N/A,one of the following
ART 490 - Independent Internship,½-3,"junior, senior standing, consent of instructor",one of the following
ART 308 - Hybrid Painting,3,ART 123 ,five of the following medium-specific studio courses
ART 410A - Special Studies in Ceramics,1-3,ART 315 ,five of the following medium-specific studio courses
ART 315 - Advanced Ceramics,3,"ART 115, ART 116, ART 117 ",five of the following medium-specific studio courses
ART 313 - Advanced Sculpture,3,"ART 115, ART 116, ART 117, ART 122 ",five of the following medium-specific studio courses
ART 311 - Life Drawing,3,ART 211 ,five of the following medium-specific studio courses
ART 312 - Advanced Painting: Oils,3,ART 123 ,five of the following medium-specific studio courses
ART 318 - Advanced Drawing,3,N/A,five of the following medium-specific studio courses
ART 300 - Advanced Photography,3,"ART 120  and art, art history, graphic design major, minor, consent of instructor",five of the following medium-specific studio courses
ART 303 - Experimental Photography,3,"ART 120, consent of instructor",five of the following medium-specific studio courses
ART 321 - Topics in Photography,3,"ART 120, consent of instructor, and art, art history, graphic design, studio art major, art minor",five of the following medium-specific studio courses
ART 323 - Digital Studio Photography,3,ART 120 ,five of the following medium-specific studio courses
ART 324 - Video Art,3,"ART 121, consent of instructor, and art, film studies, graphic design major, art, digital imaging and design, graphic design minor",five of the following medium-specific studio courses
ART 325 - Topics in Transdisciplinary Studio,3,N/A,five of the following medium-specific studio courses
ART 344 - Performance Art,3,"ART 325, consent of instructor",five of the following medium-specific studio courses
AH 203 - Exchange and Evolution in the Arts of China and Japan,3,N/A,lower division elective
AH 204 - Introduction to Museum Studies,3,N/A,lower division elective
AH 201 - Renaissance to Modern Art,3,N/A,lower division elective
"AH 202 - Art of India, the Himalayas and Southeast Asia",3,N/A,lower division elective
AH 200 - Ancient to Medieval Art,3,N/A,lower division elective
AH 205 - Arts of the Ancient Americas,3,N/A,lower division elective
AH 331 - History of Photography,3,N/A,upper division elective
AH 332 - Modern Art,3,N/A,upper division elective
AH 336 - The Art of Fashion,3,N/A,upper division elective
AH 334 - Soviet and Post-Soviet Art,3,N/A,upper division elective
AH 340 - Contemporary Art: 1945 - 1970,3,N/A,upper division elective
AH 351 - Brazilian Art: 1500-2000,3,N/A,upper division elective
AH 342 - Black Subjects in White Art History,3,N/A,upper division elective
AH 400 - Cultural Heritage and the Art World,3,N/A,upper division elective
"AH 401 - Gender, Art, and Western Culture",3,N/A,upper division elective
AH 341 - Contemporary Art: 1970 - Present,3,N/A,upper division elective
AH 335 - Theories of Modernism,3,"ART 195, and art, art history, graphic design major, art, art history, graphic design minor",junior and senior seminar courses
ART 497 - Advanced Art: Critique and Exhibition,3,"ART 195, senior standing, and art, studio art major, art minor",junior and senior seminar courses
