Course Name,Credits,Prerequisites,Category
ECON 200 - Principles of Microeconomics,3,"MATH 100, equivalent",lower-division core requirements
MATH 109 - Calculus with Applications in Business and Social Science,3,"MATH 100, equivalent",lower-division core requirements
ACTG 210 - Introduction to Financial Accounting,3,"MATH 109, MATH 110, equivalent, with a minimum grade of C-",lower-division core requirements
ECON 201 - Principles of Macroeconomics,3,"MATH 100, equivalent",lower-division core requirements
MGSC 209 - Introductory Business Statistics,3,"MATH 109, MATH 110, with a minimum grade of C-",lower-division core requirements
BUS 215 - Legal Environment of Business,3,ECON 200  with a minimum grade of C-,lower-division core requirements
MGSC 220 - Foundations of Business Analytics,3,"MGSC 209, MATH 203, PSY 203, with a minimum grade of C-",lower-division core requirements
ACTG 211 - Introduction to Managerial Accounting,3,ACTG 210  with a minimum grade of C-,lower-division core requirements
COM 219 - Business and Professional Communication for Business Majors,3,"accounting, business administration, exploratory major",communications requirement
MGSC 346 - Production and Operations Management,3,"MATH 203, MGSC 209, with a minimum grade of C-",upper-division core requirements
MGSC 300 - Management Information Systems,3,"ACTG 210, ECON 200, ECON 201, and MATH 109, MATH 110, with a minimum grade of C- in each prerequisite",upper-division core requirements
MKTG 304 - Marketing,3,"ECON 200, ECON 201, ACTG 210, and MGSC 209, MATH 203, and MATH 109, MATH 110, with a minimum grade of C- in each prerequisite",upper-division core requirements
FIN 317 - Financial Management,3,"ACTG 210, ECON 200, ECON 201, and MGSC 209, MATH 203, and MATH 109, MATH 110, with a minimum grade of C- in each prerequisite",upper-division core requirements
MGMT 316 - Management of Organizations,3,"ACTG 210, ECON 200, ECON 201, and MATH 109, MATH 110, with a minimum grade of C- in each prerequisite",upper-division core requirements
ACTG 339 - Accounting Information Systems,3,"ACTG 330  with a minimum grade of C-, consent of instructor",upper-division core requirements
ECON 374 - European Economic History,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",international learning experience
FIN 410 - International Financial Management,3,FIN 317  with a minimum grade of C-,international learning experience
MKTG 406 - International Marketing,3,"MGMT 316, and MKTG 304, MKTG 305, with a minimum grade of C- in each prerequisite",international learning experience
ECON 411 - International Economics,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",international learning experience
ECON 441 - Economic Development,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",international learning experience
BUS 495 - Special Topics in International Business,3,N/A,international learning experience
BUS 486 - Business Across Cultures,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",international learning experience
