Course Name,Credits,Prerequisites,Category
COM 110 - Interpersonal Communication,3,N/A,requirements
COM 151 - Mass Communication,3,N/A,requirements
COM 102 - Public Speaking in a Diverse Society,3,N/A,requirements
COM 210 - Theories of Persuasion,3,N/A,requirements
COM 100 - Introduction to Communication Studies,3,"communication studies, global communication and world languages major, consent of the instructor",requirements
COM 211 - Intercultural Communication,3,N/A,requirements
COM 212 - Group Communication,3,N/A,requirements
COM 498 - Senior Seminar,3,"communication studies major, senior standing, and COM 100, SCC 100  with a minimum grade of B- and COM 295  with a minimum grade of C",requirements
COM 314 - Communication Theory,3,N/A,requirements
COM 295 - Introduction to Research Methods,3,N/A,requirements
COM 350 - Mass Communication Theory,3,"COM 100, SCC 100  with a minimum grade of B- and COM 151, COM 295  with a minimum grade of C, as a corequisite",requirements
COM 490 - Independent Internship,½-6,consent of instructor and School of Communication major,requirements
SCC 301 - Interviewing and Focus Groups,3,N/A,requirements
COM 491 - Student-Faculty Research/Creative Activity,1-3,"COM 100, SCC 100  with a minimum grade of B- and COM 295  with a minimum grade of C, and consent of instructor, and School of Communication major",requirements
COM 495 - Research Seminar in Communication,3,N/A,requirements
COM 499 - Individual Study,1-6,"COM 100, SCC 100  with a minimum grade of B- and COM 295, SCC 295  with a minimum grade of C, and consent of instructor",requirements
MKTG 305 - Fundamentals of Marketing for Non-Majors,3,non-ACBE majors,electives
COM 302 - Sports Communication,3,N/A,electives
SCC 302 - Visual Communication Design,3,N/A,electives
SCC 305 - Marketing Through the Communicator’s Lens,3,N/A,electives
SCC 301 - Interviewing and Focus Groups,3,N/A,electives
COM 311 - Gender and Communication,3,N/A,electives
COM 310 - Business and Professional Communication,3,N/A,electives
COM 317 - Media and Politics,3,N/A,electives
COM 328 - Mass Media Effects,3,N/A,electives
COM 329 - Experimental Course,3,may vary,electives
SCC 329 - Experimental Course,1-3,may vary,electives
COM 334 - Communication Through Entertainment,3,N/A,electives
COM 350 - Mass Communication Theory,3,"COM 100, SCC 100  with a minimum grade of B- and COM 151, COM 295  with a minimum grade of C, as a corequisite",electives
COM 351 - Propaganda and Public Opinion,3,N/A,electives
COM 360 - Mindful Communication,3,N/A,electives
COM 372 - Introduction to Health Communication,3,N/A,electives
COM 388 - Advanced Interpersonal Communication,3,N/A,electives
COM 393 - Communication Law,3,N/A,electives
SCC 393 - Peace Communication,3,N/A,electives
SCC 410 - Training and Consulting in the Organizational Context,3,"School of Communication major, COM 100, SCC 100  with a minimum grade of B- and COM 295  with a minimum grade of C",electives
SCC 425 - Communication in the Non-profit Organization,3,N/A,electives
"COM 440 - Conflict, Negotiation and Power",3,N/A,electives
COM 411 - Communication in the Global Workplace,3,N/A,electives
SCC 415 - Communication and Organizational Change,3,N/A,electives
COM 445 - Social Media and Contemporary Society,3,N/A,electives
SCC 420 - Risk and Crisis Communication,3,N/A,electives
COM 452 - Political Communication,3,N/A,electives
COM 456 - Mother-Daughter Communication,3,N/A,electives
COM 480 - Nonverbal Communication,3,N/A,electives
COM 482 - Advanced Health Communication,3,N/A,electives
COM 488 - Darkside of Interpersonal Communication,3,N/A,electives
COM 493 - Ethical Controversies in Communication,3,N/A,electives
COM 495 - Research Seminar in Communication,3,N/A,electives
