Course Name,Credits,Prerequisites,Category
CPSC 231 - Computer Science II,3,"CPSC 230, equivalent",lower-division core requirements
MATH 250 - Discrete Mathematics I,3,"MATH 101, equivalent",lower-division core requirements
CPSC 230 - Computer Science I,3,MATH 100 ,lower-division core requirements
ENGR 101 - Foundations of Design and Fabrication,3,N/A,lower-division core requirements
MATH 215 - Introduction to Linear Algebra and Differential Equations,3,"MATH 111, MATH 116 ",lower-division core requirements
MATH 110 - Single Variable Calculus I,3,"MATH 101, equivalent",lower-division core requirements
MATH 111 - Single Variable Calculus II,3,"MATH 110, MATH 115 ",lower-division core requirements
MATH 210 - Multivariable Calculus,3,MATH 111 ,lower-division core requirements
"MATH 116 - Accelerated Calculus Part II: Series, Differential Equations and Multivariable Calculus",4,MATH 115 ,lower-division core requirements
MATH 115 - Accelerated Calculus Part I: Differentiation and Integration,4,"MATH 101, equivalent",lower-division core requirements
BIOL 204 - From Molecules to Cells: Evolution of Life on Earth (Gen Biol I),3,N/A,general science requirement
CHEM 140 - General Chemistry I,3,N/A,general science requirement
"BIOL 208 - Introduction to Molecular Genetics, Lecture and Laboratory",4,"BIOL 204, a score of 4, 5 on the AP, IB Biology exam",general science requirement
BIOL 205 - Evolution and Diversity of Multicellular Organisms (Gen Biol II),3,N/A,general science requirement
CHEM 150 - General Chemistry II,3,"CHEM 140, CHEM 140L ",general science requirement
PHYS 101 - General Physics I,3,"MATH 110, MATH 115 ",general science requirement
PHYS 102 - General Physics II,3,"PHYS 101, and MATH 111, MATH 115 ",general science requirement
CENG 351 - Computer Architecture I,3,CENG 330,upper-division requirements
CENG 330 - Digital Logic Design I,3,"CPSC 231, CENG 231",upper-division requirements
CPSC 350 - Data Structures and Algorithms,3,"CPSC 231, CENG 231 ",upper-division requirements
CPSC 353 - Data Communications and Computer Networks,3,"CENG 231, CPSC 231, CPSC 236 ",upper-division requirements
CPSC 354 - Programming Languages,3,"MATH 250, CPSC 350 ",upper-division requirements
CPSC 380 - Operating Systems,3,CPSC 350 ,upper-division requirements
CPSC 408 - Database Management,3,N/A,upper-division requirements
CPSC 406 - Algorithm Analysis,3,MATH 250 and CPSC 350 ,upper-division requirements
SE 310 - Software Design,3,CPSC 231 ,electives
SE 300 - Software Requirements and Testing,3,CPSC 231 ,electives
SE 320 - The Software Development Lifecycle,3,"CPSC 350, SE 300, SE 310 ",electives
CPSC 285 - Social and Ethical Issues in Computing,3,N/A,electives
CPSC 349 - Human Factors,3,"CPSC 230, GAME 230 ",electives
CPSC 355 - Human Computer Interaction,3,"CENG 231, CPSC 231, CPSC 236  and CPSC 349 ",electives
CPSC 357 - iOS Application Development,3,CPSC 231 ,electives
CPSC 356 - Android Application Development,3,CPSC 231 ,electives
CPSC 358 - Assistive Technology,3,N/A,electives
CPSC 359 - Computer-Supported Cooperative Work,3,CPSC 355 ,electives
CPSC 360 - Computer Graphics,3,"CENG 231, CPSC 231, CPSC 236  and MATH 215 ",electives
CPSC 370 - Topics in Computer Science,3,N/A,electives
ISP 363 - Cybersecurity 1,3,CPSC 353 ,electives
CENG 381 - Modeling and Simulation,3,CENG 231 ,electives
CPSC 390 - Artificial Intelligence,3,N/A,electives
CPSC 392 - Introduction to Data Science,3,"CPSC 230, and MATH 203, MATH 303, MGSC 209 ",electives
CPSC 393 - Machine Learning,3,CPSC 392 ,electives
CPSC 402 - Compiler Construction,3,N/A,electives
CPSC 445 - High Performance Computing,3,"CPSC 350, consent of instructor",electives
CPSC 453 - Network Implementation and Security,3,CPSC 353 ,electives
CPSC 458 - Web Engineering,3,CPSC 350,electives
