Course Name,Credits,Prerequisites,Category
ENG 497 - Capstone Course in Creative Writing,3,"ENG 403, ENG 404, and senior standing",core creative writing
ENG 304 - Creative Writing: Special Topics,3,ENG 204 ,core creative writing
ENG 304A - Creative Writing Special Topics: Experimental Writing,3,ENG 204 ,core creative writing
ENG 304B - Creative Writing Special Topics: Science or Speculative Fiction Writing,3,ENG 204 ,core creative writing
ENG 204 - Introduction to Creative Writing,3,N/A,core creative writing
"ENG 304C - Creative Writing Special Topics: Writing Health, Disability, Science",3,ENG 204 ,core creative writing
ENG 304D - Creative Writing Special Topics: Young Adult Writing,3,ENG 204 ,core creative writing
ENG 404 - Techniques in Writing Fiction,3,ENG 204 ,core creative writing
ENG 403 - Techniques in Poetry Writing,3,ENG 204 ,core creative writing
ENG 422 - Techniques in Creative Nonfiction,3,ENG 204 ,core creative writing
ENG 405 - Advanced Workshop in Poetry Writing,3,ENG 204 ,core creative writing
ENG 406 - Advanced Workshop in Writing Fiction,3,ENG 204 ,core creative writing
ENG 419 - Advanced Workshop in Creative Nonfiction,3,ENG 204 ,core creative writing
ENG 304A - Creative Writing Special Topics: Experimental Writing,3,ENG 204 ,elective creative writing courses
ENG 228 - Introduction to Screenwriting,3,"creative writing major, English minor",elective creative writing courses
ENG 227 - Writing the One-Act Play,3,N/A,elective creative writing courses
ENG 304B - Creative Writing Special Topics: Science or Speculative Fiction Writing,3,ENG 204 ,elective creative writing courses
ENG 304 - Creative Writing: Special Topics,3,ENG 204 ,elective creative writing courses
"ENG 304C - Creative Writing Special Topics: Writing Health, Disability, Science",3,ENG 204 ,elective creative writing courses
ENG 304D - Creative Writing Special Topics: Young Adult Writing,3,ENG 204 ,elective creative writing courses
ENG 310 - Writing Creative Nonfiction,3,"ENG 204, ENG 208 ",elective creative writing courses
ENG 312 - Writing the Short Story,3,ENG 204 ,elective creative writing courses
ENG 313 - Writing Southern California,3,"ENG 204, ENG 310 ",elective creative writing courses
ENG 314 - Writing the Novel,3,ENG 204 ,elective creative writing courses
ENG 316 - Writing Poetry,3,ENG 204 ,elective creative writing courses
ENG 318 - Intermediate Screenwriting,3,ENG 204 ,elective creative writing courses
ENG 328 - Writing for Video Games,3,"ENG 204  and English major, Creative Writing major, English minor, Creative and Cultural Industries minor, Animation and Visual Effects major, Film and Media Studies major, Screenwriting major, Writing for Film and Television major, VR and AR minor, Game Development Programming minor, Game Development Themed inquiry",elective creative writing courses
ENG 351 - Writing the Graphic Novel,3,ENG 204 ,elective creative writing courses
ENG 405 - Advanced Workshop in Poetry Writing,3,ENG 204 ,elective creative writing courses
ENG 406 - Advanced Workshop in Writing Fiction,3,ENG 204 ,elective creative writing courses
ENG 414 - Narrative Nonfiction,3,N/A,elective creative writing courses
ENG 419 - Advanced Workshop in Creative Nonfiction,3,ENG 204 ,elective creative writing courses
ENG 256 - Introduction to Literary Theory and Criticism,3,N/A,core literature and theory
ENG 221 - Literature I (antiquity to 1400 CE),3,N/A,core literature and theory
ENG 222 - Literature II (1400-1800 CE),3,N/A,core literature and theory
ENG 270 - Foundations of Rhetorical Studies,3,N/A,core literature and theory
ENG 223 - Literature III (1800 CE-present),3,N/A,core literature and theory
ENG 250 - Introduction to Fiction,3,N/A,core literature and theory
ENG 252 - Introduction to Poetry,3,N/A,core literature and theory
ENG 407 - Literary Forum: Tabula Poetica Poetry Reading Series,3,ENG 204 ,core literature and theory
ENG 409 - Literary Forum: John Fowles Center Contemporary Writers Core,3,ENG 204 ,core literature and theory
ENG 271 - Introduction to Linguistics,3,N/A,elective literature/rhetoric upper-division courses
ENG 302 - Writing About Diverse Cultures,3,N/A,elective literature/rhetoric upper-division courses
ENG 302B - Disability and Creative Writing,3,none,elective literature/rhetoric upper-division courses
ENG 224 - Introduction to Latinx Literature,3,N/A,elective literature/rhetoric upper-division courses
ENG 302A - Representing Self/Others,3,N/A,elective literature/rhetoric upper-division courses
ENG 321B - African American Literature Post-1950,3,N/A,elective literature/rhetoric upper-division courses
ENG 321A - African American Literature 1880s-1940s,3,N/A,elective literature/rhetoric upper-division courses
ENG 339 - World Literature from 1900 to the Present,3,N/A,elective literature/rhetoric upper-division courses
ENG 327 - Multicultural Literatures of the U.S.,3,ENG 256 ,elective literature/rhetoric upper-division courses
ENG 345A - Gender in Victorian England,3,ENG 256 ,elective literature/rhetoric upper-division courses
ENG 347 - Topics in Literary and Cultural Studies,3,N/A,elective literature/rhetoric upper-division courses
ENG 380 - Latinx and Indigenous Rhetorics,3,N/A,elective literature/rhetoric upper-division courses
ENG 444 - Topics in Rhetoric,3,N/A,elective literature/rhetoric upper-division courses
ENG 444A - Feminist Rhetorics,3,N/A,elective literature/rhetoric upper-division courses
ENG 424 - Topics in Latinx Literature,3,N/A,elective literature/rhetoric upper-division courses
ENG 444C - Queer Rhetorics,3,N/A,elective literature/rhetoric upper-division courses
ENG 444B - Copyright/Copyleft: Sampling/Plagiarism/Appropriation/Reinvention?,3,N/A,elective literature/rhetoric upper-division courses
ENG 444D - Posthuman Rhetorics,3,N/A,elective literature/rhetoric upper-division courses
ENG 444E - Technical Communication and Social Justice,3,N/A,elective literature/rhetoric upper-division courses
ENG 444F - Pedagogies of Freedom: Paulo Freire and bell hooks,3,N/A,elective literature/rhetoric upper-division courses
ENG 444G - Seminar on Foucault,3,N/A,elective literature/rhetoric upper-division courses
ENG 449 - Literature in Translation,3,written inquiry,elective literature/rhetoric upper-division courses
"ENG 472 - Film, Gender, Sexuality",3,N/A,elective literature/rhetoric upper-division courses
ENG 320 - Topics in American Literature before 1870,3,ENG 256 ,elective literature/rhetoric upper-division courses
