Course Name,Credits,Prerequisites,Category
MGSC 209 - Introductory Business Statistics,3,"MATH 109, MATH 110, with a minimum grade of C-",core requirements
ECON 201 - Principles of Macroeconomics,3,"MATH 100, equivalent",core requirements
MATH 110 - Single Variable Calculus I,3,"MATH 101, equivalent",core requirements
ECON 204 - Seminar in Ethics and Economic Thought,3,economics major,core requirements
ECON 200 - Principles of Microeconomics,3,"MATH 100, equivalent",core requirements
MGSC 220 - Foundations of Business Analytics,3,"MGSC 209, MATH 203, PSY 203, with a minimum grade of C-",core requirements
ECON 350 - Intermediate Microeconomics Theory,3,"ECON 200, ECON 201, and MATH 109, MATH 110, with a minimum grade of C- in each prerequisite",core requirements
ECON 351 - Intermediate Macroeconomic Theory,3,"ECON 200, ECON 201, and MATH 109, MATH 110, with a minimum grade of C- in each prerequisite",core requirements
ECON 452 - Econometrics,3,"ECON 200, ECON 201, and MATH 109, MATH 110, and MGSC 209, MATH 203, with a minimum grade of C- in each prerequisite and ACBE major, computational science, economics, mathematics minor, enrollment in the Applied Statistical Analysis Certificate program",core requirements
ECON 357 - Topics in Humanomics,3,consent of instructor,core requirements
ECON 374 - European Economic History,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",core requirements
ACTG 210 - Introduction to Financial Accounting,3,"MATH 109, MATH 110, equivalent, with a minimum grade of C-",electives
FIN 307 - The Financial System,3,"ECON 200, ECON 201, and MGSC 209, MATH 203, with a minimum grade of C- in each prerequisite",electives
CPSC 236 - Object-Oriented Programming in C#,3,"GAME 230, CPSC 231 ",electives
MATH 210 - Multivariable Calculus,3,MATH 111 ,electives
ECON 315 - Economics of Religion,3,"MGSC 209, MATH 203, and ECON 350, with a minimum grade of C- in each prerequisite",electives
ECON 329 - Experimental Course,3,N/A,electives
ECON 357 - Topics in Humanomics,3,consent of instructor,electives
ECON 373 - Economic History,3,ECON 200  with a minimum grade of C-,electives
MATH 361 - Mathematical Statistics,3,MATH 360 ,electives
ECON 374 - European Economic History,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",electives
FIN 410 - International Financial Management,3,FIN 317  with a minimum grade of C-,electives
ECON 411 - International Economics,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",electives
"ECON 431 - Health: Economic, Psychological, and Anthropological Perspectives",3,"MATH 203, MGSC 209, PSY 203, with a minimum grade of C-",electives
ECON 421 - Behavioral Economics and Finance: Foundations,3,"MATH 110, ECON 200, MATH 203, with a minimum grade of C- in each prerequisite",electives
ECON 425 - Economics of Non-Market Behavior,3,ECON 350  with a minimum grade of C-,electives
ECON 441 - Economic Development,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",electives
ECON 448 - Managerial Economics,3,"ACTG 210, ECON 200, ECON 201, and MGSC 209, MATH 203, with a minimum grade of C- in each prerequisite",electives
ECON 455 - The Path to the Modern Economy,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",electives
ECON 461 - Introduction to Mathematical Economics,3,"ECON 350, and MATH 109, MATH 110, equivalent",electives
ECON 465 - Environmental and Natural Resources Economics,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",electives
ECON 471 - Experimental Economics I,3,"MATH 110, ECON 350, and MATH 203, MGSC 209, with a minimum grade of C- in each prerequisite, consent of instructor",electives
ECON 481 - Auction and Market Design,3,"MATH 116, MATH 210, MGSC 209, with a minimum grade of C-, consent of instructor",electives
