Course Name,Credits,Prerequisites,Category
ENGR 101 - Foundations of Design and Fabrication,3,N/A,lower-division core requirements
PHYS 102 - General Physics II,3,"PHYS 101, and MATH 111, MATH 115 ",lower-division core requirements
PHYS 101 - General Physics I,3,"MATH 110, MATH 115 ",lower-division core requirements
EENG 201 - Digital Signals and Filters,3,"MATH 111, MATH 116 ",lower-division core requirements
EENG 200 - Electronics and Circuits I,3,N/A,lower-division core requirements
PHYS 201 - General Physics III,3,PHYS 102 ,lower-division core requirements
MATH 215 - Introduction to Linear Algebra and Differential Equations,3,"MATH 111, MATH 116 ",lower-division core requirements
CPSC 230 - Computer Science I,3,MATH 100 ,lower-division core requirements
CENG 231 - Systems Programming,3,CPSC 230 ,lower-division core requirements
MATH 110 - Single Variable Calculus I,3,"MATH 101, equivalent",lower-division core requirements
MATH 210 - Multivariable Calculus,3,MATH 111 ,lower-division core requirements
MATH 111 - Single Variable Calculus II,3,"MATH 110, MATH 115 ",lower-division core requirements
MATH 115 - Accelerated Calculus Part I: Differentiation and Integration,4,"MATH 101, equivalent",lower-division core requirements
"MATH 116 - Accelerated Calculus Part II: Series, Differential Equations and Multivariable Calculus",4,MATH 115 ,lower-division core requirements
EENG 320 - Microelectronics I,3,"EENG 200  and PHYS 102, PHYS 108 ",upper-division requirements
EENG 310 - Mathematical Methods for Physics and Engineering,3,MATH 215 ,upper-division requirements
CENG 330 - Digital Logic Design I,3,"CPSC 231, CENG 231",upper-division requirements
EENG 330 - Electromagnetics I,3,"MATH 116, MATH 210  and PHYS 102 ",upper-division requirements
EENG 300 - Electronics and Circuits II,3,EENG 200 ,upper-division requirements
CENG 366 - Digital Logic Design II,3,CENG 330,upper-division requirements
EENG 410 - Control Systems,3,EENG 310 ,upper-division requirements
CENG 350 - Embedded Systems,3,CENG 231 ,electives
CPSC 353 - Data Communications and Computer Networks,3,"CENG 231, CPSC 231, CPSC 236 ",electives
CENG 353 - Wireless Communication,3,CPSC 353 ,electives
CENG 351 - Computer Architecture I,3,CENG 330,electives
EENG 370 - Topics in Electrical Engineering,3,N/A,electives
EENG 420 - Microelectronics II,3,"EENG 300, EENG 320 ",electives
EENG 430 - Electromagnetics II,3,"EENG 310, EENG 330 ",electives
CENG 381 - Modeling and Simulation,3,CENG 231 ,electives
CENG 390 - Robotics,3,"CENG 231, CPSC 231  and EENG 200 ",electives
CENG 382 - Digital Signal Processing,3,"CENG 381  and MATH 116, MATH 210 ",electives
EENG 440 - Solid State Electronics,3,"PHYS 201, EENG 320 ",electives
EENG 450 - Photonics,3,EENG 430 ,electives
CENG 465 - Integrated Circuit Design I,3,CENG 330,electives
CENG 466 - Integrated Circuit Design II,3,"CENG 330, CENG 465",electives
