Course Name,Credits,Prerequisites,Category
ENG 223 - Literature III (1800 CE-present),3,N/A,English core
ENG 222 - Literature II (1400-1800 CE),3,N/A,English core
ENG 221 - Literature I (antiquity to 1400 CE),3,N/A,English core
ENG 256 - Introduction to Literary Theory and Criticism,3,N/A,English core
ENG 270 - Foundations of Rhetorical Studies,3,N/A,English core
ENG 498A - Senior Seminar in Literature and Rhetoric,3,"senior standing, English major with literature, rhetoric and cultural studies area of study","literature, rhetoric and cultural studies core requirement"
ENG 398 - The Scholar’s Workshop,3,"ENG 256  and junior standing, consent of the instructor","literature, rhetoric and cultural studies core requirement"
ENG 271 - Introduction to Linguistics,3,N/A,diversity
ENG 302B - Disability and Creative Writing,3,none,diversity
ENG 302A - Representing Self/Others,3,N/A,diversity
ENG 302 - Writing About Diverse Cultures,3,N/A,diversity
ENG 224 - Introduction to Latinx Literature,3,N/A,diversity
ENG 321 - Topics in American Literature after 1870,3,N/A,diversity
ENG 321A - African American Literature 1880s-1940s,3,N/A,diversity
ENG 326 - Topics in American Literature,3,ENG 256 ,diversity
ENG 320A - Reinventing American Literature,3,ENG 256 ,diversity
ENG 321B - African American Literature Post-1950,3,N/A,diversity
ENG 339 - World Literature from 1900 to the Present,3,N/A,diversity
ENG 327 - Multicultural Literatures of the U.S.,3,ENG 256 ,diversity
ENG 345A - Gender in Victorian England,3,ENG 256 ,diversity
ENG 347 - Topics in Literary and Cultural Studies,3,N/A,diversity
"ENG 360 - War, Memory, and Literature",3,N/A,diversity
ENG 370 - Technical Writing,3,N/A,diversity
ENG 372 - Language and Ideology,3,N/A,diversity
ENG 373 - Rhetorical Criticism,3,N/A,diversity
ENG 380 - Latinx and Indigenous Rhetorics,3,N/A,diversity
ENG 409 - Literary Forum: John Fowles Center Contemporary Writers Core,3,ENG 204 ,diversity
ENG 424 - Topics in Latinx Literature,3,N/A,diversity
ENG 443A - Topics in Fiction: American Fiction of the 1920s,3,ENG 256 ,diversity
ENG 444 - Topics in Rhetoric,3,N/A,diversity
ENG 444A - Feminist Rhetorics,3,N/A,diversity
ENG 444B - Copyright/Copyleft: Sampling/Plagiarism/Appropriation/Reinvention?,3,N/A,diversity
ENG 444C - Queer Rhetorics,3,N/A,diversity
ENG 444D - Posthuman Rhetorics,3,N/A,diversity
ENG 444E - Technical Communication and Social Justice,3,N/A,diversity
ENG 444F - Pedagogies of Freedom: Paulo Freire and bell hooks,3,N/A,diversity
ENG 444G - Seminar on Foucault,3,N/A,diversity
ENG 447C - The Harlem Renaissance,3,ENG 256 ,diversity
ENG 449 - Literature in Translation,3,written inquiry,diversity
"ENG 472 - Film, Gender, Sexuality",3,N/A,diversity
