Course Name,Credits,Prerequisites,Category
"FS 244 - History of Film to 1959, Lecture and Laboratory",3,N/A,core requirements
"FS 241 - Film Analysis, Lecture and Laboratory",3,"FTV 140, sophomore standing, film studies, film and media studies major",core requirements
"FTV 130 - Introduction to Visual Storytelling, Lecture and Laboratory",3,"DCFMA major, advertising, documentary film, production design for film, television minor",core requirements
"FTV 140 - Introduction to Film and Media Aesthetics, Lecture and Laboratory",3,N/A,core requirements
"FS 245 - History of Film 1960 - Present, Lecture and Laboratory",3,FS 244 ,core requirements
TWP 246 - History of Television,3,"broadcast journalism and documentary, film and media studies, film and television production, film studies, television writing and production, writing for film and television major, television minor, history and media, media, culture and society, the modern experience themed inquiry",core requirements
FS 443 - Advanced Topics in World Cinema,3,"FTV 140  and FS 244, FS 245 ",core requirements
FS 444 - Advanced Topics in Film and Media Studies,3,"FTV 140  and FS 244, FS 245 ",core requirements
"FS 445 - Film Theory and Criticism, Lecture and Laboratory",3,"FS 241, FS 245  and film and media studies major, film and media studies minor",core requirements
FS 455 - The Practices of Writing about Film,3,"FTV 140, FS 244, FS 245  and film and media studies major, film and media studies minor",core requirements
FS 342 - Film Genre and Auteur Studies,3,N/A,core requirements
FS 498 - Film and Media Studies Capstone Seminar,3,N/A,core requirements
ANTH 102 - Cultural Anthropology,3,N/A,electives
FP 133 - Audio Techniques,3,FTV 130  and DCFMA major,electives
SOC 101 - Introduction to Sociology,3,N/A,electives
PHIL 101 - Introduction to Philosophy,3,N/A,electives
ENG 204 - Introduction to Creative Writing,3,N/A,electives
AVE 247 - History and Aesthetics of Animation and Visual Effects,3,"Dodge College major, game development programming minor, visual effects minor, animation and visual effects themed inquiry",electives
ENG 270 - Foundations of Rhetorical Studies,3,N/A,electives
FP 293 - Production Design I,3,FTV 130 ,electives
SOC 306 - Social Movements,3,SOC 101 ,electives
ENG 302 - Writing About Diverse Cultures,3,N/A,electives
AVE 310 - Animation and Visual Effects: Evenings with the Experts,3,N/A,electives
PHIL 319 - Philosophy of Women/Women of Color,3,N/A,electives
ENG 328 - Writing for Video Games,3,"ENG 204  and English major, Creative Writing major, English minor, Creative and Cultural Industries minor, Animation and Visual Effects major, Film and Media Studies major, Screenwriting major, Writing for Film and Television major, VR and AR minor, Game Development Programming minor, Game Development Themed inquiry",electives
FTV 310 - Industry Insiders,3,N/A,electives
HUM 310 - Theoretical Foundations of Latinx and Latin American Studies,3,HUM 102 ,electives
FS 339 - Hollywood’s Greatest Year: 1939,3,N/A,electives
PHIL 340 - Philosophy of Mind,3,N/A,electives
"PRA 351 - Effective and Creative Presentations for Advertising, Entertainment Marketing and Public Relations",3,N/A,electives
CCI 333 - CCI and International Contexts,3,N/A,electives
FS 353 - Korean Cinema Today,3,N/A,electives
FTV 361I - Structure of an International Film Festival,3,consent of instructor,electives
SOC 370 - Race and Ethnicity,3,"SOC 101, consent of instructor",electives
FS 335 - Exploring Korean Film Industry and Culture,3,consent of instructor,electives
"HON 371 - Tales of a Creative Mind: Fellini, the Dream-Director",3,acceptance to the University Honors Program,electives
FTV 377 - Agents and Managers,3,N/A,electives
FS 355 - Video Essay Workshop,3,instructor consent required,electives
DOC 380 - Community Voices: Pre-Production,3,consent of instructor,electives
