Course Name,Credits,Prerequisites,Category
SW 127 - Writing for Film and TV I,3,N/A,core requirements
"FTV 130 - Introduction to Visual Storytelling, Lecture and Laboratory",3,"DCFMA major, advertising, documentary film, production design for film, television minor",core requirements
FP 115 - Editing I,3,"FTV 130  and broadcast journalism and documentary, film and television production, film production, screen acting, television and writing production major",core requirements
"FTV 140 - Introduction to Film and Media Aesthetics, Lecture and Laboratory",3,N/A,core requirements
FP 133 - Audio Techniques,3,FTV 130  and DCFMA major,core requirements
CRPR 234 - Introduction to Production and Set Management,3,"FTV 130  and sophomore standing and creative producing, film and television production, film production, television writing and production major, television minor",core requirements
FP 237 - Cinematography I,3,"FTV 130  and animation and visual effects, film and television production, film production, television writing and production major, production design for film minor",core requirements
FP 239 - Directing I,3,"FTV 130  and film and television production, film production, screen acting, television writing and production major",core requirements
"FS 244 - History of Film to 1959, Lecture and Laboratory",3,N/A,core requirements
"FS 245 - History of Film 1960 - Present, Lecture and Laboratory",3,FS 244 ,core requirements
TWP 246 - History of Television,3,"broadcast journalism and documentary, film and media studies, film and television production, film studies, television writing and production, writing for film and television major, television minor, history and media, media, culture and society, the modern experience themed inquiry",core requirements
FP 293 - Production Design I,3,FTV 130 ,core requirements
TWP 114 - Introduction to Television Production: Studio,3,"broadcast journalism and documentary, film and television production, television writing and production major, broadcast journalism minor",core requirements
FP 280 - Intermediate Production Workshop,3,N/A,core requirements
SW 357 - Scripted Story Analysis,3,"for television writing and production major, TWP 127, TWP 128 ",requirements
FP 437 - Cinematography III,3,FP 337 ,requirements
FP 370 - Visual Effects for Live-Action Production,3,CRPR 234  and film and television production major,requirements
FP 337 - Cinematography II,3,N/A,requirements
FP 387 - Color Grading,3,N/A,requirements
VRAR 210 - Introduction to VR and AR,3,VRAR 120 ,one of the following
TWP 320 - Narrative Television Workshop,3,"TWP 338  and film and television production, television writing and production major",one of the following
TWP 311 - Advanced Multi-Camera TV Production,3,"TWP 114, junior standing and broadcast journalism and documentary, film and television production, television writing and production major",one of the following
DOC 335 - Documentary Production,3,"DOC 116, FTV 130  and Dodge College major, documentary film minor",one of the following
FP 497A - Cinematography Senior Thesis Workshop I,3,"FP 237, FP 337, senior standing, consent of instructor and film and television production, film production major",one of the following
TWP 495 - Short Form Television I,3,"film and television production, television writing and production major and senior standing, TWP 246 ​ and two of the following: TWP 311, TWP 320, TWP 327, TWP 328, TWP 487 ",one of the following
