Course Name,Credits,Prerequisites,Category
PCST 253 - Mediation and Conflict Resolution,3,N/A,core requirements
PCST 150 - Introduction to Peace Studies,3,N/A,core requirements
PCST 240 - Theories of Peace and Conflict,3,PCST 150 ,core requirements
PCST 453 - Mediation and Conflict Resolution,3,N/A,core requirements
PCST 201 - Research Methods: Peace Studies,3,N/A,core requirements
PCST 354 - Non-Violent Social Change,3,N/A,core requirements
PCST 498 - Capstone Project in Peace and Conflict Studies,3,"PCST 150, PCST 201 ",core requirements
POSC 120 - Introduction to International Relations,3,N/A,dynamics of violence and causes of conflict
SOC 225 - Social Inequality/Stratification,3,N/A,dynamics of violence and causes of conflict
HIST 211 - Mother Russia and Uncle Sam During the Cold War: Conflict and Coexistence,3,N/A,dynamics of violence and causes of conflict
POSC 130 - Introduction to Comparative Politics,3,N/A,dynamics of violence and causes of conflict
FSN 201 - International Nutrition: World Food Crisis,3,N/A,dynamics of violence and causes of conflict
HIST 228 - African American Historical Experience,3,N/A,dynamics of violence and causes of conflict
HIST 307 - Germany and the Holocaust,3,N/A,dynamics of violence and causes of conflict
PCST 260 - Peace and Conflict in Fiction,3,"PCST 150  and sophomore standing, consent of  instructor",dynamics of violence and causes of conflict
"PCST 311 - Borders, Conflict and Sovereignty",3,"PCST 150  and sophomore standing, consent of instructor",dynamics of violence and causes of conflict
HIST 319 - Israel/Palestine: 3000 Years,3,N/A,dynamics of violence and causes of conflict
PCST 332 - Democracy and Democratization,3,N/A,dynamics of violence and causes of conflict
PCST 333 - Global Conflict Analysis and Resolution,3,N/A,dynamics of violence and causes of conflict
POSC 335 - Political Economy,3,N/A,dynamics of violence and causes of conflict
SOC 335 - Society and the Environment,3,"SOC 101, ENV 102, consent of instructor",dynamics of violence and causes of conflict
FREN 351 - The French Resistance and Holocaust,3,"FREN 201, consent of instructor",dynamics of violence and causes of conflict
PCST 353 - Peace and Conflict in the Middle East,3,N/A,dynamics of violence and causes of conflict
PCST 356 - The Psychology of International Conflict,3,N/A,dynamics of violence and causes of conflict
PCST 358 - Islam and the West,3,N/A,dynamics of violence and causes of conflict
POSC 362 - Politics of Humanitarianism,3,N/A,dynamics of violence and causes of conflict
PCST 366 - Conflict and Social Change in Latin America,3,N/A,dynamics of violence and causes of conflict
PCST 200 - Introduction to Human Rights,3,N/A,inclusive conflict engagement
PCST 257 - Model United Nations I,3,N/A,inclusive conflict engagement
REL 120 - Global Ethics and Religion,3,N/A,inclusive conflict engagement
"PCST 311 - Borders, Conflict and Sovereignty",3,"PCST 150  and sophomore standing, consent of instructor",inclusive conflict engagement
PCST 310 - International Approaches to Health,3,N/A,inclusive conflict engagement
POSC 323 - Law and Politics of Mass Atrocity,3,N/A,inclusive conflict engagement
POSC 327 - Latin American Politics,3,N/A,inclusive conflict engagement
PCST 325 - Albert Schweitzer: His Life and Thought,3,N/A,inclusive conflict engagement
PCST 333 - Global Conflict Analysis and Resolution,3,N/A,inclusive conflict engagement
POSC 335 - Political Economy,3,N/A,inclusive conflict engagement
POSC 336 - The Global and The Local,3,N/A,inclusive conflict engagement
PCST 345 - Gender in Peace and War,3,N/A,inclusive conflict engagement
POSC 362 - Politics of Humanitarianism,3,N/A,inclusive conflict engagement
LEAD 410 - Leadership in International Contexts: Travel Course,3,"declared LEAD Minor, Leadership Themed Inquiry, Instructor Approval",inclusive conflict engagement
PCST 310 - International Approaches to Health,3,N/A,intercultural understanding
HIST 211 - Mother Russia and Uncle Sam During the Cold War: Conflict and Coexistence,3,N/A,intercultural understanding
HIST 297 - The Holocaust in History and Film,3,N/A,intercultural understanding
SOC 281 - Sociology of Sex and Gender,3,N/A,intercultural understanding
PCST 251 - Intercultural Conflict and Communication,3,N/A,intercultural understanding
PCST 325 - Albert Schweitzer: His Life and Thought,3,N/A,intercultural understanding
