Course Name,Credits,Prerequisites,Category
MUSB 100 - Introduction to the Business of Music,3,"music major, any music minor, consent of instructor",general requirements
MUS 404 - Advanced Piano,1-4,junior standing,general requirements
MUS 102A - Compendium of Western Music History I,3,"music major, minor and pass MUS 133  with a “C”, better, consent of instructor",general requirements
MUS 102B - Compendium of Western Music History II,3,"music major, minor and pass MUS 133  with a “C”, better, pass MUS 102A  with a C, better, consent of instructor",general requirements
MUS 104 - Piano,1-4,N/A,general requirements
MUS 116 - Studio Class,½,consent of instructor,general requirements
MUS 133 - Theory I,2,consent of instructor,general requirements
MUS 233 - Theory III,2,"pass MUS 134  with a “C”, better, for B",general requirements
MUS 244 - Principles of Music Technology,2,"pass MUS 128  with at least a C, pass MUS 133  with at least a C, consent of instructor",general requirements
MUS 234 - Theory IV,2,"pass MUS 102, MUS 233  with a “C”, better, pass music theory placement examination",general requirements
MUS 280 - Music Information Literacy,0,music majors only,general requirements
MUS 454 - Principles of Conducting,2,"pass MUS 234, MUS 236  with a “C”, better, consent of instructor",general requirements
MUS 475 - Piano Pedagogy,2,instructor consent required,general requirements
MUS 493N - Directed Research: Piano Pedagogy,1-3,consent of instructor,general requirements
MUS 494 - Piano Literature and History,3,"pass MUS 102, MUS 102B  with a “C”, better, consent of instructor",general requirements
MUS 493O - Directed Research: Piano Literature,1-3,consent of instructor,general requirements
MUS 330 - Form and Harmonic Analysis,2,"junior standing, pass MUS 234, MUS 236 with a “C”, better, for composition majors pass MUS 234, MUS 236 with “B”, better",one of the following
MUS 340 - Instrumentation and Beginning Orchestration,2,"pass MUS 234  with a “C”, better, junior standing",one of the following
MUS 302 - Music History and Literature II,3,"pass MUS 102, MUS 102B  with a “C”, better, and MUS 134  with a “C”, better",one of the following
MUS 304 - Music History and Literature IV,3,"pass MUS 102, MUS 102B  with a “C”, better, and MUS 234  with a “C”, better",one of the following
MUS 303 - Music History and Literature III,3,"pass MUS 102, MUS 102B  with a “C”, better, and MUS 233  with a “C”, better",one of the following
MUS 332A - Musical Cultures of Africa/Middle East,3,"pass MUS 102B  with a “C”, better, and music major, minor",one of the following
MUS 301 - Music History and Literature I,3,"pass MUS 102, MUS 102B  with a “C”, better",one of the following
MUS 332B - Musical Cultures of Asia/Pacific,3,"pass MUS 102B  with a “C”, better, and music major, minor",one of the following
MUS 332C - Musical Cultures of the Americas,3,"pass MUS 102B  with a “C”, better, and music major, minor",one of the following
MUS 332D - Folk and Traditional Musical Cultures of Europe,3,"pass MUS 102B  with a “C”, better, and music major, minor, instructor consent",one of the following
MUS 345 - Musical Theatre History and Cultural Practice,3,N/A,one of the following
MUS 405 - Music History and Literature V,3,"pass MUS 102B  and MUS 234  with a “C”, better, consent of instructor",one of the following
MUS 456 - Song Literature and History,3,"pass MUS 102, MUS 102B  with a “C”, better, consent of instructor",one of the following
MUS 461 - Psychology of Music,3,N/A,one of the following
MUS 468 - Guitar Literature and History,3,"pass MUS 102, MUS 102B  with a “C”, better, consent of instructor",one of the following
MUS 496C - Seminar: Topics in Music History and Literature,3,"pass MUS 102B  with a “C”, better, consent of instructor",one of the following
MUS 496D - Seminar: Topics in World Music and Culture,3,"consent of instructor and pass MUS 102B  with a “C”, better",one of the following
MUS 496E - Opera History and Cultural Practice,3,"pass MUS 102B  and MUS 134  with at least a C, consent of instructor",one of the following
MUS 332B - Musical Cultures of Asia/Pacific,3,"pass MUS 102B  with a “C”, better, and music major, minor",one of the following
MUS 332C - Musical Cultures of the Americas,3,"pass MUS 102B  with a “C”, better, and music major, minor",one of the following
MUS 332A - Musical Cultures of Africa/Middle East,3,"pass MUS 102B  with a “C”, better, and music major, minor",one of the following
MUS 496D - Seminar: Topics in World Music and Culture,3,"consent of instructor and pass MUS 102B  with a “C”, better",one of the following
MUS 332D - Folk and Traditional Musical Cultures of Europe,3,"pass MUS 102B  with a “C”, better, and music major, minor, instructor consent",one of the following
