Course Name,Credits,Prerequisites,Category
MUS 404 - Advanced Piano,1-4,junior standing,general requirements
MUS 104 - Piano,1-4,N/A,general requirements
MUS 106 - Voice,1-4,N/A,general requirements
MUS 102A - Compendium of Western Music History I,3,"music major, minor and pass MUS 133  with a “C”, better, consent of instructor",general requirements
MUS 102B - Compendium of Western Music History II,3,"music major, minor and pass MUS 133  with a “C”, better, pass MUS 102A  with a C, better, consent of instructor",general requirements
MUS 406 - Advanced Voice (Performance Majors),1-4,"performance major with vocal emphasis, consent of instructor",general requirements
MUS 116 - Studio Class,½,consent of instructor,general requirements
MUS 133 - Theory I,2,consent of instructor,general requirements
MUS 217 - From the Page to the Stage: A Course for Singers,2,MUS 106 ,general requirements
MUS 233 - Theory III,2,"pass MUS 134  with a “C”, better, for B",general requirements
MUS 280 - Music Information Literacy,0,music majors only,general requirements
MUS 244 - Principles of Music Technology,2,"pass MUS 128  with at least a C, pass MUS 133  with at least a C, consent of instructor",general requirements
MUS 450 - Choral Conducting I,2,"pass MUS 234, MUS 236  with a “C”, better, consent of instructor",general requirements
MUS 476 - Vocal Pedagogy,2,"minimum of two years of vocal study, taken from MUS 106, 306, MUS 406, equivalent",general requirements
MUS 496E - Opera History and Cultural Practice,3,"pass MUS 102B  and MUS 134  with at least a C, consent of instructor",one of the following
MUS 456 - Song Literature and History,3,"pass MUS 102, MUS 102B  with a “C”, better, consent of instructor",one of the following
MUS 234 - Theory IV,2,"pass MUS 102, MUS 233  with a “C”, better, pass music theory placement examination",three credits of the following
MUS 301 - Music History and Literature I,3,"pass MUS 102, MUS 102B  with a “C”, better",three credits of the following
MUS 302 - Music History and Literature II,3,"pass MUS 102, MUS 102B  with a “C”, better, and MUS 134  with a “C”, better",three credits of the following
MUS 304 - Music History and Literature IV,3,"pass MUS 102, MUS 102B  with a “C”, better, and MUS 234  with a “C”, better",three credits of the following
MUS 303 - Music History and Literature III,3,"pass MUS 102, MUS 102B  with a “C”, better, and MUS 233  with a “C”, better",three credits of the following
MUS 332A - Musical Cultures of Africa/Middle East,3,"pass MUS 102B  with a “C”, better, and music major, minor",three credits of the following
MUS 332B - Musical Cultures of Asia/Pacific,3,"pass MUS 102B  with a “C”, better, and music major, minor",three credits of the following
MUS 332C - Musical Cultures of the Americas,3,"pass MUS 102B  with a “C”, better, and music major, minor",three credits of the following
MUS 332D - Folk and Traditional Musical Cultures of Europe,3,"pass MUS 102B  with a “C”, better, and music major, minor, instructor consent",three credits of the following
MUS 345 - Musical Theatre History and Cultural Practice,3,N/A,three credits of the following
MUS 405 - Music History and Literature V,3,"pass MUS 102B  and MUS 234  with a “C”, better, consent of instructor",three credits of the following
MUS 456 - Song Literature and History,3,"pass MUS 102, MUS 102B  with a “C”, better, consent of instructor",three credits of the following
MUS 494 - Piano Literature and History,3,"pass MUS 102, MUS 102B  with a “C”, better, consent of instructor",three credits of the following
MUS 461 - Psychology of Music,3,N/A,three credits of the following
MUS 468 - Guitar Literature and History,3,"pass MUS 102, MUS 102B  with a “C”, better, consent of instructor",three credits of the following
MUS 496D - Seminar: Topics in World Music and Culture,3,"consent of instructor and pass MUS 102B  with a “C”, better",three credits of the following
MUS 496C - Seminar: Topics in Music History and Literature,3,"pass MUS 102B  with a “C”, better, consent of instructor",three credits of the following
MUS 332C - Musical Cultures of the Americas,3,"pass MUS 102B  with a “C”, better, and music major, minor",one of the following
MUS 332B - Musical Cultures of Asia/Pacific,3,"pass MUS 102B  with a “C”, better, and music major, minor",one of the following
MUS 332D - Folk and Traditional Musical Cultures of Europe,3,"pass MUS 102B  with a “C”, better, and music major, minor, instructor consent",one of the following
MUS 332A - Musical Cultures of Africa/Middle East,3,"pass MUS 102B  with a “C”, better, and music major, minor",one of the following
MUS 496D - Seminar: Topics in World Music and Culture,3,"consent of instructor and pass MUS 102B  with a “C”, better",one of the following
MUS 337 - Popular Singing Styles,2,"MUS 128, MUS 133  and performance, vocal emphasis major, consent of instructor",classical/music theatre
MUS 336 - Music Theatre Singing and Dancing,2,"MUS 128, MUS 133  and performance, vocal emphasis major, consent of instructor",classical/music theatre
MUS 323A - Advanced Jazz Improvisation,1-4,consent of instructor,jazz/popular
MUS 322K - Vocal Jazz,½,consent of instructor,jazz/popular
MUS 337 - Popular Singing Styles,2,"MUS 128, MUS 133  and performance, vocal emphasis major, consent of instructor",jazz/popular
