Course Name,Credits,Prerequisites,Category
PHIL 203 - Logic,3,N/A,core requirements
PHIL 310 - From Socrates to Aquinas,3,N/A,core requirements
PHIL 311 - Descartes to Kierkegaard,3,N/A,core requirements
PHIL 300 - Symbolic Logic,3,N/A,core requirements
PHIL 398 - Junior/Senior Seminar,3,"junior standing, 6 credits in philosophy, consent of instructor",core requirements
PHIL 102 - Philosophy through Science Fiction,3,N/A,metaphysics and epistemology
PHIL 305 - Metaphysics,3,N/A,metaphysics and epistemology
PHIL 125 - Philosophy of Religion,3,N/A,metaphysics and epistemology
"PHIL 309 - Religion, Knowledge and Evil",3,N/A,metaphysics and epistemology
PHIL 306 - Games and Decisions,3,N/A,metaphysics and epistemology
"PHIL 320 - Belief, Truth, and Knowledge",3,N/A,metaphysics and epistemology
PHIL 321 - Philosophy of Science,3,N/A,metaphysics and epistemology
PHIL 340 - Philosophy of Mind,3,N/A,metaphysics and epistemology
PHIL 351 - Philosophy of Quantum Theory,3,N/A,metaphysics and epistemology
PHIL 360 - Bootcamp in Aristotle,3,N/A,metaphysics and epistemology
PHIL 365 - Philosophy and Neuroscience of Free Will,3,N/A,metaphysics and epistemology
PHIL 104 - Introduction to Ethics,3,N/A,ethics
PHIL 314 - Medical Ethics,3,N/A,ethics
PHIL 316 - Business and Professional Ethics,3,N/A,ethics
PHIL 303 - Environmental Ethics,3,N/A,ethics
PHIL 120 - Global Ethics and Religion,3,N/A,ethics
PHIL 318 - Political and Legal Philosophy,3,N/A,ethics
PHIL 319 - Philosophy of Women/Women of Color,3,N/A,ethics
PHIL 323 - Philosophy in Literature,3,N/A,ethics
PHIL 327 - Global Justice,3,N/A,ethics
PHIL 324 - Philosophy of Law,3,N/A,ethics
PHIL 357 - Topics in Humanomics,3,N/A,ethics
