Course Name,Credits,Prerequisites,Category
POSC 201 - Political Research Design,3,"sophomore standing, political science major",Core Requirements
POSC 200 - Introduction to Political Theory,3,political science major,Core Requirements
POSC 101 - Introduction to Political Science,3,N/A,Core Requirements
POSC 420 - Seminar in International Relations,3,"senior standing, consent of instructor",Capstone
POSC 410 - Seminar in American Politics,3,"senior standing, consent of instructor",Capstone
POSC 212 - Introduction to Public Administration,3,N/A,Political Economy and Policy
POSC 314 - California Politics,3,N/A,Political Economy and Policy
POSC 130 - Introduction to Comparative Politics,3,N/A,Political Economy and Policy
POSC 150 - Introduction to Disability Studies; Challenging Myths of Normalcy,3,N/A,Political Economy and Policy
"POSC 320 - International Law, International Organization, and World Order",3,N/A,Political Economy and Policy
POSC 322 - United States Foreign Policy,3,N/A,Political Economy and Policy
POSC 324 - Asian Politics,3,N/A,Political Economy and Policy
POSC 327 - Latin American Politics,3,N/A,Political Economy and Policy
POSC 326 - Politics of the Contemporary Middle East,3,N/A,Political Economy and Policy
POSC 331 - The European Union,3,N/A,Political Economy and Policy
POSC 335 - Political Economy,3,N/A,Political Economy and Policy
POSC 332 - Democracy and Democratization,3,N/A,Political Economy and Policy
POSC 346 - Environmental Law,3,POSC 110 ,Political Economy and Policy
POSC 360 - Local Politics,3,N/A,Political Economy and Policy
POSC 361 - Federal Policy Design and American Energy Policy,3,N/A,Political Economy and Policy
POSC 362 - Politics of Humanitarianism,3,N/A,Political Economy and Policy
POSC 373 - Separation of Powers and Public Policy,3,N/A,Political Economy and Policy
POSC 371 - Urban Politics,3,N/A,Political Economy and Policy
POSC 374 - Environmental Politics and Policy,3,N/A,Political Economy and Policy
POSC 369 - Administrative State,3,N/A,Political Economy and Policy
POSC 375 - Public Policy Process,3,N/A,Political Economy and Policy
POSC 378 - Special Topics in Public Policy,3,consent of instructor,Political Economy and Policy
POSC 385 - Lobbying and Legislative Advocacy,3,sophomore standing,Political Economy and Policy
POSC 378A - The Politics of Climate Change,3,N/A,Political Economy and Policy
POSC 392 - Law and Policy of Water Resources Management,3,N/A,Political Economy and Policy
"POSC 439 - Disability, Policy, and the Law",3,N/A,Political Economy and Policy
POSC 473 - WA Semester: Economics and Public Policy Problems,3,N/A,Political Economy and Policy
POSC 310 - The Presidency,3,N/A,American Politics
POSC 311 - Congress,3,N/A,American Politics
POSC 212 - Introduction to Public Administration,3,N/A,American Politics
POSC 110 - Introduction to American Politics,3,N/A,American Politics
POSC 300 - American Political Thought,3,N/A,American Politics
POSC 312C - Presidential Scandals,3,N/A,American Politics
POSC 313 - The Supreme Court,3,N/A,American Politics
POSC 315 - Campaigns and Elections,3,N/A,American Politics
POSC 314 - California Politics,3,N/A,American Politics
POSC 316 - Public Opinion and Voting Behavior,3,N/A,American Politics
POSC 318 - Women and Politics,3,N/A,American Politics
