Course Name,Credits,Prerequisites,Category
ENGR 101 - Foundations of Design and Fabrication,3,N/A,lower-division requirements
MATH 115 - Accelerated Calculus Part I: Differentiation and Integration,4,"MATH 101, equivalent",lower-division requirements
MATH 215 - Introduction to Linear Algebra and Differential Equations,3,"MATH 111, MATH 116 ",lower-division requirements
MATH 203 - Introduction to Statistics,3,N/A,lower-division requirements
"MATH 116 - Accelerated Calculus Part II: Series, Differential Equations and Multivariable Calculus",4,MATH 115 ,lower-division requirements
CPSC 230 - Computer Science I,3,MATH 100 ,lower-division requirements
MATH 250 - Discrete Mathematics I,3,"MATH 101, equivalent",lower-division requirements
CPSC 231 - Computer Science II,3,"CPSC 230, equivalent",lower-division requirements
CPSC 285 - Social and Ethical Issues in Computing,3,N/A,lower-division requirements
CPSC 349 - Human Factors,3,"CPSC 230, GAME 230 ",upper-division requirements
SE 300 - Software Requirements and Testing,3,CPSC 231 ,upper-division requirements
SE 310 - Software Design,3,CPSC 231 ,upper-division requirements
CPSC 350 - Data Structures and Algorithms,3,"CPSC 231, CENG 231 ",upper-division requirements
SE 320 - The Software Development Lifecycle,3,"CPSC 350, SE 300, SE 310 ",upper-division requirements
CPSC 354 - Programming Languages,3,"MATH 250, CPSC 350 ",upper-division requirements
ENG 370 - Technical Writing,3,N/A,upper-division requirements
CPSC 355 - Human Computer Interaction,3,"CENG 231, CPSC 231, CPSC 236  and CPSC 349 ",upper-division requirements
CPSC 380 - Operating Systems,3,CPSC 350 ,upper-division requirements
CPSC 408 - Database Management,3,N/A,upper-division requirements
SE 498 - Software Engineering Capstone Project,3,SE 320 ,upper-division requirements
CENG 381 - Modeling and Simulation,3,CENG 231 ,electives
CPSC 359 - Computer-Supported Cooperative Work,3,CPSC 355 ,electives
CPSC 358 - Assistive Technology,3,N/A,electives
CPSC 356 - Android Application Development,3,CPSC 231 ,electives
CPSC 357 - iOS Application Development,3,CPSC 231 ,electives
SE 370 - Topics in Software Engineering,3,determined by topic being offered,electives
ISP 363 - Cybersecurity 1,3,CPSC 353 ,electives
CPSC 390 - Artificial Intelligence,3,N/A,electives
CPSC 392 - Introduction to Data Science,3,"CPSC 230, and MATH 203, MATH 303, MGSC 209 ",electives
CPSC 393 - Machine Learning,3,CPSC 392 ,electives
CPSC 406 - Algorithm Analysis,3,MATH 250 and CPSC 350 ,electives
CPSC 458 - Web Engineering,3,CPSC 350,electives
SE 410 - Software Process and Management,3,SE 310,electives
SE 420 - Formal Methods in Software Engineering,3,SE 410 ,electives
