major,year,semester,class name
"• 
Economics, B.A.",1,Fall,MATH 110 - Single Variable Calculus I
"• 
Economics, B.A.",1,Fall,ECON 200 - Principles of Microeconomics
"• 
Economics, B.A.",1,Spring,MGSC 209 - Introductory Business Statistics
"• 
Economics, B.A.",1,Spring,ECON 201 - Principles of Macroeconomics
"• 
Economics, B.A.",2,Fall,MGSC 220 - Foundations of Business Analytics
"• 
Economics, B.A.",2,Fall,ECON 204 - Seminar in Ethics and Economic Thought
"• 
Economics, B.A.",2,Spring,ECON 350 - Intermediate Microeconomics Theory
"• 
Economics, B.A.",3,Fall,ECON 351 - Intermediate Macroeconomic Theory
"• 
Economics, B.A.",3,Spring,ECON 452 - Econometrics
"• 
Economics, B.A.",4,Fall,ECON 357 - Topics in Humanomics
"• 
Economics, B.A.",4,Fall,ECON 374 - European Economic History
"• 
Accounting, B.S.",1,Fall,MATH 109 - Calculus with Applications in Business and Social Science
"• 
Accounting, B.S.",1,Fall,ECON 200 - Principles of Microeconomics
"• 
Accounting, B.S.",1,Spring,ECON 201 - Principles of Macroeconomics
"• 
Accounting, B.S.",1,Spring,ACTG 210 - Introduction to Financial Accounting
"• 
Accounting, B.S.",1,Spring,COM 219 - Business and Professional Communication for Business Majors
"• 
Accounting, B.S.",2,Fall,ACTG 211 - Introduction to Managerial Accounting
"• 
Accounting, B.S.",2,Fall,MGSC 209 - Introductory Business Statistics
"• 
Accounting, B.S.",2,Fall,BUS 216 - Business Ethics
"• 
Accounting, B.S.",2,Spring,MGSC 220 - Foundations of Business Analytics
"• 
Accounting, B.S.",2,Spring,BUS 215 - Legal Environment of Business
"• 
Accounting, B.S.",3,Fall,ACTG 330 - Intermediate Financial Accounting I
"• 
Accounting, B.S.",3,Fall,ACTG 320 - Cost Accounting I
"• 
Accounting, B.S.",3,Fall,MGMT 316 - Management of Organizations
"• 
Accounting, B.S.",3,Spring,ACTG 331 - Intermediate Financial Accounting II
"• 
Accounting, B.S.",3,Spring,ACTG 339 - Accounting Information Systems
"• 
Accounting, B.S.",3,Spring,FIN 317 - Financial Management
"• 
Accounting, B.S.",3,Spring,MKTG 304 - Marketing
